control_id,process,sub_process,risk_id,risk_title,risk_description,wcgw,control_id_ref,control_title,control_description,control_type,control_nature,frequency,assertion,owner_function,key_control,automation,evidence_expected,test_procedure,referential_mapping
RD-003,R&D,IP Protection,R-RD-03,Propriété intellectuelle non protégée,Pas de dépôt brevet ou de protection des inventions,Perte de PI au profit des concurrents,C-RD-03,Processus de protection de la PI,Comité PI évalue chaque innovation. Dépôt brevet / NDA / secret selon stratégie,Préventif,Manuel,Permanent,Existence,R&D / Juridique,Oui,Manuel,Comité PI + dépôts,Échantillonner 10 inventions. Vérifier la décision de protection et son exécution.,COSO
RD-004,R&D,IP Protection,R-RD-04,Cession de PI par contrat mal cadré,Travaux sous-traités sans clause de transfert de PI,Perte de propriété,C-RD-04,Clauses de PI dans tous les contrats R&D,Modèles de contrat avec clauses de cession PI. Revue Juridique systématique pour contrats R&D,Préventif,Manuel,Permanent,Conformité,Juridique / Achats,Oui,Manuel,Contrats + revue juridique,Échantillonner 15 contrats R&D. Vérifier la présence et la validité des clauses PI.,COSO / Code PI
RD-005,R&D,Confidentiality,R-RD-05,Fuite de R&D par sous-traitant ou partenaire,Information stratégique non protégée,Perte d'avantage concurrentiel,C-RD-05,NDA et accès cloisonné,NDA signés avant tout échange. Accès aux données R&D limité au strict nécessaire,Préventif,Manuel,Permanent,Existence,R&D / Juridique / IT,Oui,Manuel,NDA + matrices d'accès,Échantillonner 15 partenaires. Vérifier NDA + cohérence des accès.,COSO / ISO 27001
RD-006,R&D,Capitalization,R-RD-06,Capitalisation incorrecte des frais de R&D,Charge passée à tort en capital (ou inverse),Distorsion du résultat,C-RD-06,Critères de capitalisation IFRS appliqués et tracés,Critères IAS 38 appliqués (faisabilité technique / commerciale / ressources). Dossier par projet,Préventif,Manuel,Permanent,Cut-off,Comptabilité / R&D,Oui,Manuel,Dossiers de capitalisation,Échantillonner 10 projets capitalisés. Vérifier les critères IAS 38.,IAS 38 / SOX
RD-007,R&D,Time Tracking,R-RD-07,Temps R&D mal alloué,Saisie incorrecte des temps par projet,Capitalisation et CIR erronés,C-RD-07,Time tracking validé par chef de projet,Saisie hebdomadaire validée par chef de projet. Cohérence avec planning,Préventif,Manuel,Hebdomadaire,Exactitude,R&D / Paie,Oui,Semi-auto,Outil de TT + validations,Échantillonner 25 saisies. Vérifier la validation et la cohérence.,COSO / SOX / CIR
RD-008,R&D,Tax Credit,R-RD-08,Crédit Impôt Recherche surévalué,Inclusion de dépenses non éligibles dans le CIR,Redressement fiscal + pénalités,C-RD-08,Dossier CIR documenté avec critères MESR,Dossier annuel justifiant l'éligibilité (incertitudes scientifiques + démarche). Revue par expert externe,Préventif,Manuel,Annuel,Conformité,Fiscalité / R&D,Oui,Manuel,Dossier CIR + revue externe,Échantillonner 10 dépenses. Vérifier l'éligibilité et la documentation.,CIR / BOFIP
RD-009,R&D,Project Management,R-RD-09,Dérapage budget / délai non détecté,Projet hors budget ou en retard sans alerte,Surcoût et impact stratégique,C-RD-09,Suivi mensuel des projets en comité,Comité mensuel de suivi avec KPIs (budget / délai / risques). Décisions tracées,Détectif,Manuel,Mensuel,Évaluation,Direction R&D,Non,Semi-auto,PV comités + dashboards,Vérifier les PV sur 3 mois. Échantillonner 5 projets et tester la cohérence des reportings.,COSO
RD-010,R&D,Compliance,R-RD-10,Non-conformité réglementaire des produits,Produit en développement non conforme aux normes (CE / FDA / etc.),Non-mise sur le marché,C-RD-10,Veille réglementaire et gates de conformité,Veille réglementaire active. Gates de conformité dans le cycle projet (avant industrialisation),Préventif,Manuel,Permanent,Conformité,R&D / Affaires Réglementaires,Oui,Manuel,Notes de veille + gates,Vérifier le passage des gates pour 5 projets. Cohérence avec le marquage final.,Selon secteur
RD-011,R&D,Outsourcing,R-RD-11,Sous-traitance R&D non maîtrisée,Sous-traitant ne respecte pas les exigences,Qualité dégradée + risque PI,C-RD-11,Sélection et suivi des sous-traitants R&D,Évaluation initiale (technique + financière + sécurité) + revue annuelle,Préventif,Manuel,Annuel,Évaluation,R&D / Achats,Oui,Manuel,Évaluations + revues,Échantillonner 10 sous-traitants. Vérifier les évaluations et leur fraîcheur.,COSO
RD-012,R&D,Knowledge Management,R-RD-12,Perte de savoir-faire au départ d'un expert,Connaissance critique non documentée,Risque opérationnel,C-RD-12,Documentation et knowledge transfer obligatoire,Documentation des projets imposée. Knowledge transfer formalisé avant départs clés,Préventif,Manuel,Permanent,Existence,R&D / RH,Non,Manuel,Documentation + plans KT,Échantillonner 5 départs experts récents. Vérifier la formalisation du KT.,COSO
